method,instance,n_seeds,mean,std,gap_mean,gap_std
HGT,FT06,5,59.6,1.3416407864998738,8.363636363636363,2.4393468845452246
ABL_HGT-2Layer,FT06,3,60.333333333333336,4.163331998932266,9.696969696969697,7.569694543513211
ABL_HGT-4Layer,FT06,3,60.666666666666664,0.5773502691896258,10.303030303030303,1.049727762162955
ABL_HGT-1Layer,FT06,3,62.0,1.0,12.727272727272727,1.8181818181818183
HomoHGT,FT06,5,66.0,2.6457513110645907,20.0,4.810456929208346
GIN,FT06,5,66.6,8.792041856133308,21.09090909090909,15.985530647515104
Random,FT06,5,96.10799999999999,2.7123642823190277,74.74181818181819,4.931571422398237
SPT,FT06,5,109.0,0.0,98.18181818181819,0.0
LPT,FT06,5,129.0,0.0,134.54545454545453,0.0
HomoHGT,FT10,5,1540.6,162.96257239010436,65.65591397849462,17.52285724624778
HGT,FT10,5,1594.2,281.7413707640396,71.41935483870967,30.294771049896724
Random,FT10,5,1832.7759999999998,17.419129714196384,97.07268817204302,1.8730247004512226
GIN,FT10,5,1994.8,361.54902848714727,114.49462365591398,38.8762396222739
SPT,FT10,5,2648.0,0.0,184.73118279569894,0.0
LPT,FT10,5,2940.0,0.0,216.12903225806448,3.1776437161565096e-14
Random,FT20,5,2120.044,24.717804918722106,81.97802575107296,2.1216999930233533
LPT,FT20,5,2945.0,0.0,152.78969957081546,0.0
SPT,FT20,5,3186.0,0.0,173.4763948497854,0.0
