method,instance,seed,timestep,mean_makespan
ABL_HGT-1Layer,FT06,0,8064,63.0
ABL_HGT-1Layer,FT06,0,16128,85.0
ABL_HGT-1Layer,FT06,0,24048,67.0
ABL_HGT-1Layer,FT06,0,32112,66.0
ABL_HGT-1Layer,FT06,0,40032,64.0
ABL_HGT-1Layer,FT06,0,48096,82.0
ABL_HGT-1Layer,FT06,0,50112,65.0
ABL_HGT-1Layer,FT06,1,8064,68.0
ABL_HGT-1Layer,FT06,1,16128,70.0
ABL_HGT-1Layer,FT06,1,24048,75.0
ABL_HGT-1Layer,FT06,1,32112,63.0
ABL_HGT-1Layer,FT06,1,40032,62.0
ABL_HGT-1Layer,FT06,1,48096,64.0
ABL_HGT-1Layer,FT06,1,50112,66.0
ABL_HGT-1Layer,FT06,2,8064,85.0
ABL_HGT-1Layer,FT06,2,16128,82.0
ABL_HGT-1Layer,FT06,2,24048,62.0
ABL_HGT-1Layer,FT06,2,32112,64.0
ABL_HGT-1Layer,FT06,2,40032,61.0
ABL_HGT-1Layer,FT06,2,48096,66.0
ABL_HGT-1Layer,FT06,2,50112,67.0
ABL_HGT-2Layer,FT06,0,8064,70.0
ABL_HGT-2Layer,FT06,0,16128,68.0
ABL_HGT-2Layer,FT06,0,24048,76.0
ABL_HGT-2Layer,FT06,0,32112,69.0
ABL_HGT-2Layer,FT06,0,40032,66.0
ABL_HGT-2Layer,FT06,0,48096,65.0
ABL_HGT-2Layer,FT06,0,50112,66.0
ABL_HGT-2Layer,FT06,1,8064,66.0
ABL_HGT-2Layer,FT06,1,16128,66.0
ABL_HGT-2Layer,FT06,1,24048,67.0
ABL_HGT-2Layer,FT06,1,32112,62.0
ABL_HGT-2Layer,FT06,1,40032,61.0
ABL_HGT-2Layer,FT06,1,48096,60.0
ABL_HGT-2Layer,FT06,1,50112,59.0
ABL_HGT-2Layer,FT06,2,8064,69.0
ABL_HGT-2Layer,FT06,2,16128,67.0
ABL_HGT-2Layer,FT06,2,24048,63.0
ABL_HGT-2Layer,FT06,2,32112,60.0
ABL_HGT-2Layer,FT06,2,40032,60.0
ABL_HGT-2Layer,FT06,2,48096,57.0
ABL_HGT-2Layer,FT06,2,50112,57.0
ABL_HGT-4Layer,FT06,0,8064,71.0
ABL_HGT-4Layer,FT06,0,16128,69.0
ABL_HGT-4Layer,FT06,0,24048,67.0
ABL_HGT-4Layer,FT06,0,32112,61.0
ABL_HGT-4Layer,FT06,0,40032,60.0
ABL_HGT-4Layer,FT06,0,48096,60.0
ABL_HGT-4Layer,FT06,0,50112,60.0
ABL_HGT-4Layer,FT06,1,8064,74.0
ABL_HGT-4Layer,FT06,1,16128,66.0
ABL_HGT-4Layer,FT06,1,24048,61.0
ABL_HGT-4Layer,FT06,1,32112,65.0
ABL_HGT-4Layer,FT06,1,40032,61.0
ABL_HGT-4Layer,FT06,1,48096,64.0
ABL_HGT-4Layer,FT06,1,50112,64.0
ABL_HGT-4Layer,FT06,2,8064,64.0
ABL_HGT-4Layer,FT06,2,16128,67.0
ABL_HGT-4Layer,FT06,2,24048,62.0
ABL_HGT-4Layer,FT06,2,32112,61.0
ABL_HGT-4Layer,FT06,2,40032,63.0
ABL_HGT-4Layer,FT06,2,48096,61.0
ABL_HGT-4Layer,FT06,2,50112,61.0
GIN,FT06,0,8064,78.0
GIN,FT06,0,16128,114.0
GIN,FT06,0,24048,72.0
GIN,FT06,0,32112,82.0
GIN,FT06,0,40032,65.0
GIN,FT06,0,48096,84.0
GIN,FT06,0,56016,115.0
GIN,FT06,0,60048,88.0
GIN,FT06,1,8064,100.0
GIN,FT06,1,16128,81.0
GIN,FT06,1,24048,77.0
GIN,FT06,1,32112,69.0
GIN,FT06,1,40032,73.0
GIN,FT06,1,48096,80.0
GIN,FT06,1,56016,63.0
GIN,FT06,1,60048,64.0
GIN,FT06,2,8064,82.0
GIN,FT06,2,16128,86.0
GIN,FT06,2,24048,100.0
